Gene,t_stat,p_value,log2FC,p_adj
OTOP2,-13.102189536545808,3.139690524483413e-16,-5.628310638080415,1.3892274291605154e-13
BEST4,-12.557505395804284,6.289430059321697e-16,-5.258468943001976,2.429516982915124e-13
DES,-8.14433440375377,2.0854464685731638e-11,-5.138067817968725,9.346487156389782e-10
CA7,-12.356810116621315,5.66771217712081e-17,-5.087482810598767,3.3641327693271225e-14
MYH11,-7.831703958907541,1.6950522984051856e-10,-4.693142076933093,5.456454065342407e-09
CLCA4,-9.971630849774963,4.3186288587456275e-15,-4.687627446468292,1.0615974940043797e-12
CNN1,-6.939640677339474,8.047669525384296e-09,-4.630724024908144,1.4137584044445585e-07
INSL5,-6.209330535001051,1.5160226440822466e-07,-4.608100385036775,1.7726029507033985e-06
ACTG2,-6.275572656206005,8.39795553912815e-08,-4.530061164878759,1.0672200835520766e-06
PYY,-11.046669621659095,3.6298173072904955e-15,-4.497100948195859,9.344523839369955e-13
GUCA2B,-12.437022715483586,2.8530483338833476e-19,-4.31924271071155,8.678973031673144e-16
SYNM,-6.7047794266742375,2.503861306431523e-08,-4.22656161914005,3.7706663832498484e-07
SYNPO2,-7.813987924577383,2.7561110124083956e-10,-4.074839980767096,8.1795997070696e-09
GCG,-9.669296577504774,3.2153169339436763e-13,-4.010507908509655,3.0806280671044604e-11
CASQ2,-8.53752698350746,1.739202853108168e-10,-3.8926407421538185,5.539952962466018e-09
PLP1,-10.613784561915427,1.0571567895307887e-13,-3.7766961503552796,1.2428486777788055e-11
FABP4,-7.76075247912719,8.654678448480003e-11,-3.746870257717571,3.0261530850892147e-09
SCN7A,-9.08059724059867,4.278752701435802e-11,-3.6873207741247356,1.687645473940708e-09
TMIGD1,-11.749353725048724,2.605383948087314e-18,-3.683762549715337,4.226974917376858e-15
LMOD1,-7.85444011505592,2.048275713303754e-10,-3.6828798470939255,6.390620225507713e-09
MAMDC2,-10.337876115984303,8.815183478849343e-14,-3.6652377390818467,1.123174372467422e-11
CA1,-11.54969375772865,5.793843200207804e-18,-3.648864299596714,7.0806714382881116e-15
CHGA,-9.721297524119038,1.5473640584223416e-14,-3.6480243814834403,2.789381609316008e-12
VIP,-7.572768730625689,2.1382231679196744e-10,-3.642578327821854,6.600627858776432e-09
DPT,-11.646107885461497,1.24816578872496e-17,-3.5784113749004076,1.2005863337159511e-14
ATP1A2,-9.089291552576695,3.842526954228295e-11,-3.5570070399788527,1.550775057348255e-09
FDCSP,-4.675301298194057,2.404406506489509e-05,-3.530696700532828,0.00014106469802779338
SCNN1B,-10.309616522307026,1.0855010159036534e-15,-3.5059208058503093,3.6689934337543486e-13
SPIB,-11.277272912977605,2.478675168053524e-15,-3.4949666750777233,7.356224254847629e-13
ADIPOQ,-4.527032628159253,4.623981941832552e-05,-3.459860797559812,0.0002501205257533607
PLN,-7.042640338468773,4.554091562470127e-09,-3.4511133865589394,8.81689516819992e-08
GUCA2A,-9.914935026015186,5.148399302907173e-15,-3.4409912420223137,1.1932518612909425e-12
