Gene,t_stat,p_value,log2FC,p_adj
REG1A,8.816821216344534,7.711544021527436e-12,7.752639610652466,4.1336593680152356e-10
NOTUM,6.287376670584058,1.423079404290243e-07,6.478177333491542,1.6803522747601821e-06
REG3A,6.357563460165348,6.765934936905729e-08,6.258650032504676,8.823997461122069e-07
TCN1,5.704712110009761,1.1036267560006448e-06,6.140052188489442,9.80571768310759e-06
KLK6,6.97610936488679,1.6636074427602238e-08,6.030206782036678,2.651313079699594e-07
REG1B,7.417900262514374,2.6584365780216402e-09,5.977442825410888,5.5868490986817476e-08
HULC,3.9465945789499264,0.0003207918816429075,5.959797552202929,0.0013539987444074547
CST1,10.766093640905959,9.708356392060018e-15,5.335337223960975,1.9591827117369777e-12
KRT6B,6.349141841576781,1.0964922857482146e-07,5.054290450859577,1.343617133231045e-06
MMP7,10.291444739377047,5.284836107057812e-15,5.03046041255024,1.205465149750447e-12
CA9,6.109977503719375,1.4509414724308365e-07,4.701010803192654,1.7099327686720018e-06
S100A2,6.6872183853855045,2.5596125919630463e-08,4.498738496470145,3.840365723675259e-07
DPEP1,11.286170356399229,3.976924968912661e-17,4.419418014336738,2.7652127440988146e-14
ACTL8,3.4739464370056012,0.00125642636529258,4.179744974775263,0.004462403973403419
DEFA6,5.037378420703839,6.128015174863546e-06,4.156225444278024,4.285384405042507e-05
CDH3,14.143409753917053,8.360716805086322e-22,4.126852106580426,1.0173320208429037e-17
KRT80,13.124529759947327,2.255966224151218e-18,4.064400687111506,4.223168771611079e-15
FOXQ1,12.368183401657634,9.764057491414298e-19,4.059691578816572,2.160164573736894e-15
MMP1,8.791395400433329,7.973459982865713e-13,3.9953405966700184,6.596792714902941e-11
MUC5AC,3.7217912662245802,0.0005333628136675156,3.969257204603943,0.002111242263079483
CEMIP,11.783439253350398,1.8047100977404104e-17,3.8931606508164047,1.5144629289176076e-14
COL11A1,8.998525704701374,1.7494684666618586e-11,3.8230813570217776,8.09411874613745e-10
KRT23,8.530193438208986,5.584730083689474e-12,3.8206121203789083,3.175467086838015e-10
TFF2,3.8989516708165457,0.0002669092539337158,3.811329156476171,0.001152836179773851
CLDN1,14.08811061126953,6.676174892362665e-22,3.7487425978431563,1.0173320208429037e-17
H19,3.3956676792893288,0.0011717984698121728,3.6853685248094408,0.004194276740895579
