Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),37/128,2.315909047176031e-18,8.508649839324737e-15,0,0,7.76309736774853,315.23399401295234,GPSM2;ERCC6L;ZWILCH;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;AURKB;AURKA;CDC20;CCNB1;DSN1;NUF2;NUSAP1;RCC1;BUB1;DLGAP5;CENPU;STIL;PLK1;NDC80;CENPE;KIF18A;CENPF;ESPL1;CENPH;CENPI;KIF4A;CENPK;TACC3;BIRC5;KIF2C;CENPN;SPC24;MAD2L1
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),39/157,8.861749561795759e-17,1.627903394501881e-13,0,0,6.314151769615167,233.3849554927045,GPSM2;ERCC6L;ZWILCH;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;AURKB;AURKA;CDC20;CCNB1;DSN1;NUF2;RCC1;BUB1;DLGAP5;CENPU;STIL;PLK1;KIF23;NDC80;MZT1;TPX2;CENPE;KIF18A;CENPF;CENPH;KIFC1;CENPI;PRC1;KIF4A;CENPK;BIRC5;KIF2C;CENPN;SPC24;MAD2L1
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),28/102,1.3210599268984414e-13,1.6178580571416243e-10,0,0,7.1656827167849215,212.49955217108916,CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;NCAPH;CCNB1;DSN1;NUSAP1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KNSTRN;NDC80;CENPE;KIF18A;KIF18B;PSRC1;ESPL1;KIFC1;PRC1;CENPK;CDK1;KIF2C;NCAPD2;NCAPD3
GO_Biological_Process_2021,positive regulation of cell cycle process (GO:0090068),26/101,4.984313198822025e-12,4.5780916731180305e-09,0,0,6.551653333333333,170.50497954208808,GPSM2;FEN1;KIF14;AURKB;AURKA;CCNB1;RACGAP1;NUSAP1;DRD2;ECT2;E2F7;PLK4;RANBP1;SPAG5;DDX11;KIF23;CDC6;NDC80;CDC25B;EREG;CIT;SSTR5;IL1A;DBF4;KIF20B;MAD2L1
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),85/764,1.2096852816838495e-11,8.888767449812925e-09,0,0,2.433839537107611,61.1820427565306,IFITM1;CSF2;CXCL8;REG1B;REG1A;HILPDA;KIF14;CXCL1;DUSP15;FOXM1;AREG;CXCL5;SHH;ESM1;MYC;TIMP1;SOX9;SOX4;KRT6A;IL11;TESC;PROX1;AXIN2;PGF;GNL3;CDC25B;EREG;NME1;SSTR5;SULT2B1;IL1A;AZGP1;SAPCD2;CEACAM6;TIMELESS;BIRC5;BIRC7;KIF20B;REG3A;CCL3L1;PRKDC;UHRF1;NOP2;LEF1;CDCA7;TTK;TBRG4;DLL4;ADGRG1;PDPN;ZNF503;DRD2;WNT2;S100A11;E2F7;TCFL5;JAG2;TFAP2A;CGREF1;CDKN2A;LIF;OSM;HMGA1;CDC6;INHBA;DHRS2;MAPK15;SHCBP1;AGT;VEGFA;BMP4;SQLE;MLXIPL;TFAP4;FABP6;CDK4;PRC1;BAMBI;FGF19;FGFR4;TDGF1;HSPA1B;EZH2;CDKN3;PF4
GO_Biological_Process_2021,DNA metabolic process (GO:0006259),44/277,2.164828737139216e-11,1.3255967967082464e-08,0,0,3.603943952518728,88.49878924330113,TOP2A;RTEL1;FEN1;BLM;PCNA;RNASEH2A;MCM7;PRKDC;MCM8;UHRF1;PRIM1;NUDT1;MCM10;BRCA1;RECQL4;RAD51AP1;CDC45;ORC1;EXO1;TOP1MT;CHEK1;POLD2;RAD54L;KPNA2;CDT1;HELLS;POLQ;RFC3;RFC4;LIG1;XRCC2;FANCA;CDC6;AXIN2;TICRR;NEIL3;DBF4;UBE2T;TIMELESS;CDK1;MCM4;DNA2;DNASE1;MCM2
GO_Biological_Process_2021,DNA replication (GO:0006260),26/108,2.58913334579802e-11,1.3589251303517035e-08,0,0,5.990146341463415,146.02247316662425,BLM;FEN1;RNASEH2A;MCM7;MCM8;MCM10;BRCA1;RECQL4;CDC45;ORC1;EXO1;TOP1MT;CHEK1;POLD2;CLSPN;RFC3;RFC4;CDC6;TICRR;FAM111B;DBF4;TIMELESS;CDK1;MCM4;DNA2;MCM2
GO_Biological_Process_2021,sister chromatid segregation (GO:0000819),14/34,4.2530439618114485e-10,1.953210439461908e-07,0,0,13.110474308300397,282.9006461862444,TOP2A;SPAG5;NCAPG2;PLK1;CDCA8;KNSTRN;NDC80;DSN1;KIF18A;KIF18B;ESPL1;KIFC1;CENPK;NUSAP1
GO_Biological_Process_2021,kinetochore organization (GO:0051383),9/13,1.4106382243091241e-09,5.758538706790801e-07,0,0,41.969026548672566,855.2961760417011,CDT1;CENPE;CENPF;CENPW;CENPH;NUF2;CENPA;NDC80;DLGAP5
GO_Biological_Process_2021,centromere complex assembly (GO:0034508),14/37,1.6147012785096591e-09,5.932412497244488e-07,0,0,11.39860800824884,230.7547412101273,CENPU;HELLS;CENPW;HJURP;CENPA;CENPE;CENPF;CENPH;CENPI;RUVBL1;CENPK;OIP5;CENPN;DLGAP5
