Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Mineral absorption,18/60,8.32802598999521e-08,1.228893081727286e-05,0,0,5.737167594310452,93.5218804362847,SLC6A19;MT1M;ATP2B4;CYBRD1;MT1X;ATP1A2;CLCN2;SLC8A1;SLC9A3;MT2A;TF;MT1A;MT1F;MT1G;MT1H;TRPM6;SLC26A3;MT1E
KEGG_2021_Human,Drug metabolism,25/108,8.684756761323576e-08,1.228893081727286e-05,0,0,4.04365831709725,65.74629084472949,CDA;UGT1A10;MAOB;ADH1C;MAOA;ADH1B;CYP3A4;HPGDS;AOX1;UGT2A3;UGT1A9;UGT1A8;XDH;GSTM3;GSTM2;UGT1A1;FMO2;FMO4;FMO5;NAT1;NAT2;GSTA1;CES2;CES1;GSTM5
KEGG_2021_Human,cAMP signaling pathway,37/216,3.790460687929744e-07,3.575667915613725e-05,0,0,2.784832422668405,41.17544078594651,CHRM2;RYR2;ADCYAP1R1;VIPR2;NPR1;HHIP;PTGER3;ATP2A3;ATP1A2;ADRB2;GLI3;GNAI1;ADCY5;SLC9A1;RAP1A;PLN;CREB3L3;NPY;CNGA1;PLCE1;CNGA3;PRKACB;EDN2;EDN3;PDE4D;NPY1R;ATP2B4;GCG;MAPK10;ADCY9;ACOX1;SST;FXYD1;PDE3A;CALM1;VIP;MYL9
KEGG_2021_Human,Regulation of lipolysis in adipocytes,16/55,6.919173783268631e-07,4.5248926054552063e-05,0,0,5.484962683809946,77.79760978705214,NPR1;PTGER3;NPY1R;AQP7;ADRB2;GNAI1;ADCY5;PTGS1;ADCY9;FABP4;NPY;PRKG2;PLIN1;PRKACB;PRKG1;MGLL
KEGG_2021_Human,Bile secretion,21/90,7.994509903631107e-07,4.5248926054552063e-05,0,0,4.07711653934421,57.24002778992028,UGT1A10;ABCB1;UGT1A1;AQP8;NR1H4;ATP1A2;SLC51A;SLC51B;ABCB11;CYP3A4;SLC4A4;ADCY5;SLC9A1;SLC9A3;ADCY9;CA2;UGT2A3;UGT1A9;PRKACB;UGT1A8;ABCG2
KEGG_2021_Human,Vascular smooth muscle contraction,26/133,1.6088249365307536e-06,7.588290950636721e-05,0,0,3.260271557044613,43.492043757937296,NPR1;ITPR1;PLA2G5;ACTG2;MYLK;ADCY5;CALD1;KCNMB1;GNA11;MYH11;PRKACB;PRKG1;PPP1R14A;PLA2G2D;EDN2;EDN3;PRKCB;ACTA2;MYL6;ADCY9;PLA2G10;KCNMA1;AGTR1;CALM1;PPP1R12B;MYL9
KEGG_2021_Human,Pancreatic secretion,21/102,6.7826364081804985e-06,0.00027421230050215443,0,0,3.4708497362148845,41.30708487611658,PNLIPRP2;RYR2;PLA2G2D;AMY2B;PRKCB;ITPR1;ATP2A3;ATP2B4;ATP1A2;PLA2G5;SLC4A4;SLC9A1;ADCY5;ADCY9;RAP1A;CA2;PLA2G10;KCNMA1;CLCA1;SLC26A3;CLCA4
KEGG_2021_Human,cGMP-PKG signaling pathway,28/167,1.4459769047142229e-05,0.0005115143300426563,0,0,2.702003513468295,30.11150628086293,NPR1;ITPR1;ATP2A3;ATP1A2;ADRB2;SLC8A1;GNAI1;MYLK;ADCY5;PLN;CREB3L3;ADORA3;KCNMB1;GNA11;CNGA1;PRKG2;PRKG1;MEF2C;PDE2A;ATP2B4;ADRA2A;ADCY9;KCNMA1;AGTR1;PDE3A;PDE5A;CALM1;MYL9
KEGG_2021_Human,Renin secretion,16/69,1.745689362931465e-05,0.0005489223218995607,0,0,4.033059648741232,44.18529785191148,ADCYAP1R1;EDN2;EDN3;NPR1;ITPR1;ADRB2;GNAI1;ADCY5;KCNMA1;AGTR1;PDE3A;PRKG2;CLCA1;CALM1;PRKACB;CLCA4
KEGG_2021_Human,Calcium signaling pathway,35/240,3.0524879224681675e-05,0.0008638540820584915,0,0,2.29359154804112,23.846399064415557,CHRM2;RYR2;PTGER3;ITPR1;ATP2A3;HTR2B;ADRB2;FGF2;RYR3;SLC8A1;CACNA1H;MYLK;PLN;PDGFD;GNA11;PLCE1;PTK2B;PRKACB;PRKCB;TACR2;ATP2B4;MCOLN2;ADCY9;P2RX4;P2RX1;ITPKA;AGTR1;CASQ2;CALM1;PLCD3;PLCD4;PLCD1;FGFR2;FGF10;FGFR1
