Gene,t_stat,p_value,log2FC,p_adj,group
CLDN1,14.08811061126953,6.676174892362665e-22,3.7487425978431563,1.0173320208429037e-17,Up
CDH3,14.143409753917053,8.360716805086322e-22,4.126852106580426,1.0173320208429037e-17,Up
CLEC3B,-13.408005193487973,4.4268981070130805e-21,-3.338491429839199,2.693324808306758e-17,Down
SCARA5,-13.451994805748434,3.909332027340017e-21,-3.280186774565354,2.693324808306758e-17,Down
MAFG-AS1,14.177700322839165,1.6857345868077003e-20,1.7054089783836628,8.204807380910439e-17,Up
GLP2R,-14.64317936693798,5.631532735605584e-20,-2.551886136278497,2.284149677561625e-16,Down
TP53INP2,-12.628145018146872,8.231486621238152e-20,-1.9922205090978222,2.8617351202064525e-16,Down
GUCA2B,-12.437022715483586,2.8530483338833476e-19,-4.31924271071155,8.678973031673144e-16,Down
GLTP,-12.437497277637203,3.7563001217704335e-19,-1.4963462703621975,1.0157035529267253e-15,Down
PRKG2,-13.762612772210547,6.2143904633183075e-19,-2.3103133564920633,1.5123340631531432e-15,Down
FOXQ1,12.368183401657634,9.764057491414298e-19,4.059691578816572,2.160164573736894e-15,Up
MIER1,-11.837384040726237,2.170549944032148e-18,-1.1454419042463018,4.223168771611079e-15,Down
KRT80,13.124529759947327,2.255966224151218e-18,4.064400687111506,4.223168771611079e-15,Up
ETV4,11.804835252530411,2.6023681695478163e-18,3.142105745474761,4.226974917376858e-15,Up
TMIGD1,-11.749353725048724,2.605383948087314e-18,-3.683762549715337,4.226974917376858e-15,Down
ADCY5,-12.225885789188567,2.846407659980388e-18,-2.459603485694223,4.3293860508301695e-15,Down
SPTBN2,12.393693562004463,3.679516728972575e-18,2.4472331373335794,5.267336418604505e-15,Up
SLCO4A1,11.644569432550918,4.048052802367054e-18,2.605977536655315,5.472967388800257e-15,Up
CA1,-11.54969375772865,5.793843200207804e-18,-3.648864299596714,7.0806714382881116e-15,Down
GNG7,-11.568104389644335,5.819092240539211e-18,-1.7107043650738256,7.0806714382881116e-15,Down
TRIB3,11.519258583192444,1.0520939518683248e-17,3.214074321299151,1.2005863337159511e-14,Up
PPP2R3A,-11.391679763655693,1.2826777069614865e-17,-1.9137457230194492,1.2005863337159511e-14,Down
FGL2,-11.401724297108125,1.2137780385717358e-17,-2.3928443103203207,1.2005863337159511e-14,Down
CADM3,-12.31033765590522,1.090875143268415e-17,-3.151670050570533,1.2005863337159511e-14,Down
DPT,-11.646107885461497,1.24816578872496e-17,-3.5784113749004076,1.2005863337159511e-14,Down
SMPD1,-11.385128262916577,1.1766062867632979e-17,-1.6823966985634105,1.2005863337159511e-14,Down
CDC14A,-11.3476478754555,1.3473494992204806e-17,-1.4301798125202487,1.214411015297393e-14,Down
CIPC,-11.536219032968146,1.4669097385695308e-17,-1.2635969318461964,1.2749541213510036e-14,Down
CEMIP,11.783439253350398,1.8047100977404104e-17,3.8931606508164047,1.5144629289176076e-14,Up
TMEM220,-11.449480513869922,2.1217432906089484e-17,-1.8143418382771714,1.721158157341979e-14,Down
BMP3,-11.49482097940875,2.3814040918010213e-17,-3.100034014462187,1.869479031550634e-14,Down
ADH1B,-11.265871810800908,2.575684221860116e-17,-3.2774150201673997,1.958807850724618e-14,Down
CGREF1,11.37971312519644,2.9738669705157274e-17,2.484056781623177,2.193091714983962e-14,Up
WDR78,-11.229174047813375,3.9315766461827206e-17,-1.7211893310567221,2.7652127440988146e-14,Down
DPEP1,11.286170356399229,3.976924968912661e-17,4.419418014336738,2.7652127440988146e-14,Up
CAB39,-11.091640138442912,4.4999871865578526e-17,-0.9083969194152264,3.0419913381131086e-14,NS
C19orf48,11.071219972772573,4.769727422194421e-17,1.7340879506296183,3.0743500885365994e-14,Up
PTPN21,-11.049140834906146,4.920839249745972e-17,-1.5379547459436353,3.0743500885365994e-14,Down
FAM83H-AS1,11.20799357563993,4.9268430906035244e-17,2.2172359807249364,3.0743500885365994e-14,Up
SULT2B1,11.234948279994155,5.496603813725595e-17,2.994134578705,3.344133760270652e-14,Up
